k,mx,my,est_px,est_py
1,1.57861671110821,-2.67223129536736,2.04401874505885,-2.04879834206564
2,5.25979111890962,-2.57819782000029,4.1994734789342,-2.82738522581237
3,2.31733152119206,-0.287591921408962,3.14351731896782,-1.39453394836744
4,7.61483886625005,2.88526073128823,5.88422203087684,1.28148584281535
5,6.82109701751468,1.38736837154385,6.83683357562521,1.80887146673282
6,8.48602707581195,0.0257944973978277,8.13672999046191,1.38928888672996
7,7.22910944990974,5.73345183060585,8.32282996594376,3.61621147592885
8,10.7835366734434,3.85357391202874,9.82801182026427,4.26331389783491
9,8.63143588479705,4.74000534705242,10.0012093503084,4.98612300318197
10,13.4403330514269,4.95242756317159,11.746045076983,5.52332605118553
11,13.0575999034081,2.63323408182289,12.8443651810373,5.10266773220423
12,15.1732206062121,2.25788754893645,14.2688812900601,4.61649713635056
13,18.2028795188093,6.05290077581697,16.2087935463421,5.34530214946435
14,14.8206341604212,7.70985072886124,16.6563872437822,6.37118056812075
15,15.7242297389613,8.38224961099077,17.1680921266066,7.34429310575202
16,17.6817557850846,6.01983363859887,18.033650469104,7.41438367870339
17,17.2000026295598,11.798544684686,18.5090643783485,9.0248105526076
18,17.1517549117055,8.22415207275554,18.7867297673958,9.30867242351656
19,19.6952182633738,8.70095062568458,19.6228786400614,9.60136729700245
20,22.5886801675981,4.4564313366732,21.0283987939749,8.6075531322269
21,21.4050494814552,5.97522108663328,21.7877820513121,8.12993986956344
22,22.7977449679753,4.65561915890499,22.7049287767324,7.32985858306114
23,29.2997546820591,7.6732431785915,25.1596211413453,7.46447731427989
24,25.9602013482261,7.32998853265564,26.19969458474,7.47677616547726
25,26.4843786094221,10.1352967726277,27.0879103181776,8.2496869355805
26,23.8384547924277,7.53563370811179,26.9800368908924,8.17700326887831
27,29.3249462788089,8.29616431528912,28.2742246176821,8.30574462255239
28,25.7200903554491,8.77051401366953,28.2681619195353,8.5289643823625
29,33.5880457283535,11.0524111972278,30.3152214459895,9.32765253835741
30,32.7585457837376,8.23476768255555,31.7120265913012,9.20706745955335
31,32.55838889015,6.18813218740897,32.7150392160182,8.51638021341777
32,31.2875584661152,13.5911832919573,33.0872585860031,9.94811280651042
33,32.2476000033807,5.0553234410386,33.5441813356569,8.79922501161526
34,35.7492375430097,10.7626783876773,34.7815213991039,9.37262564209102
35,36.3216052323228,11.1501075007006,35.8775722015949,9.95417870666131
36,37.3356698965239,9.49300696566841,36.9700315288773,9.97229403197041
37,34.1750657086431,10.8584098991274,36.9108946332655,10.3397346763722
38,38.0154391862029,12.6483317525223,37.8053767343549,11.11963015916
39,39.4972370968279,16.4627692479522,38.8699785919832,12.7973813663829
40,41.4559913560469,13.1060534128211,40.2066705285692,13.249663800606
41,42.7760588582785,10.5721127062001,41.592008287401,12.8763439757673
42,43.3402953955538,12.9180560672081,42.8024465993957,13.1511122747987
43,44.7793766253495,13.4800788338284,44.0985366151837,13.4947835096946
44,46.1726214891133,10.960112706434,45.4502852936612,13.0519843575139
45,46.1580302211503,11.087966369908,46.4578453783156,12.6766908222484
46,46.5388644793903,14.6194732094779,47.280649046523,13.3058432591737
47,41.532975343284,11.1833991367278,46.4723403044466,12.8753577620046
48,48.5268659749837,12.5503582514092,47.5947537473954,12.8660685677644
49,47.9624954288133,13.2080007363658,48.2939763379471,13.0263535773695
50,54.3201765018418,16.8746121105796,50.5318840632023,14.1565866079974
51,56.5507504048804,14.3309742342032,52.929124297826,14.3943922457617
52,53.8871282695522,18.2213041383598,54.0918016708921,15.6318281174352
53,55.3263658183112,20.6267011570227,55.3216559697443,17.3000645372067
54,53.4846198651423,20.001841409356,55.7087978112204,18.4807090399367
55,56.4504752303617,17.7120648624508,56.7088652550959,18.7737812476335
56,59.4846868643644,16.3865858500418,58.2561405346264,18.5774693303694
57,56.7999608371266,14.5280195804921,58.6943882820006,17.8316884978227
58,60.2037794933818,19.3141572096388,59.8657677253619,18.463279899931
59,58.1408863715908,18.4922143089587,60.1639895587441,18.732229593251
60,59.3551822106167,17.0451615445415,60.627436853044,18.5200490944624
61,61.1578908033623,17.8511051921376,61.4042202390511,18.5244475475704
62,67.1449692713872,20.1273744606832,63.6003289170398,19.123618061654
63,63.1113107075598,17.7276034247532,64.2378238534352,18.9425652155106
64,67.158912147654,17.2021574910438,65.763146354523,18.6152577598486
65,64.7746403684015,20.5378473041249,66.275038738068,19.2329706366917
66,66.1477157180245,21.2897010925875,66.9593555311275,19.9430699378233
67,65.6653035054001,17.9019907471418,67.2889287893752,19.5859961272014
68,68.7002511888961,22.0865855610174,68.2917638049755,20.4035309187602
69,72.7882198400015,21.0740506112008,70.158623232911,20.7905374297283
70,69.2688456426448,21.2737870194753,70.6593804889477,21.138227967404
71,71.623300985234,22.3132410027616,71.60960869933,21.681526732585
72,72.8596866191313,22.7636938250541,72.6389477965749,22.2262515775503
73,74.0246260555884,20.004624885416,73.7148998971648,21.8872345512194
74,74.9056170080878,22.7380249636803,74.7505418593788,22.3111733932478
75,74.6594423770856,23.9647491982536,75.441030613609,22.9735935424036
76,80.3286950004161,19.3540488331805,77.4645106185953,22.231170243309
